序号	语料
928		 ꀀ时/d  [ꅽ] /r 若/c ꀋꇈ /p ꀉꁁꋍꑵ{ꄷ}ꈨ/mq (ꀉꑳ)ꒆ;(ꎇꃀꌺ)ꏃ;(ꐴ)ꅿ;ꐥ(ꏾ);(ꌩꃅ)ꋠꐥ;ꀑꇬ;(ꀋꃋꋋ)ꍂ;ꇫꐥꌠ;(ꆅ)ꊌ;(ꁬꋌ)ꇿ;(ꃆꄔ)ꏦ;ꎸ;ꀉꋒ;ꀋꂔ;ꀉꋒꃅ;(ꌩ)ꋒ;ꂾꋒꃅ;ꏦ /v 机体/n ꂃ/v ꀋꉊ/v ꀉꁁꋍꑵ/m 部/n ，/w ꀊꅰꃅ/r {ꀋꉊꃀꂽ}ꍆꅉ/u 遗留/v ꀊ /u 部分/n ꀐꍰ/d {ꌬ}ꐓ 够/vu 复(ꀉꑳ)ꒆ;(ꎇꃀꌺ)ꏃ;(ꐴ)ꅿ;ꐥ(ꏾ);(ꌩꃅ)ꋠꐥ;ꀑꇬ;(ꀋꃋꋋ)ꍂ;ꇫꐥꌠ;(ꆅ)ꊌ;(ꁬꋌ)ꇿ;(ꃆꄔ)ꏦ;ꎸ;ꀉꋒ;ꀋꂔ;ꀉꋒꃅ;(ꌩ)ꋒ;ꂾꋒꃅ;ꏦ /v ꀊꄶ/r 已经/d 损失/v ꀊ /u 部分/n ꀊꄸꄷ/c ꀉꇨ/v ꀉꁁꋍꑵ/m 完全/a ꀊ /u (ꀉꑳ)ꒆ;(ꎇꃀꌺ)ꏃ;(ꐴ)ꅿ;ꐥ(ꏾ);(ꌩꃅ)ꋠꐥ;ꀑꇬ;(ꀋꃋꋋ)ꍂ;ꇫꐥꌠ;(ꆅ)ꊌ;(ꁬꋌ)ꇿ;(ꃆꄔ)ꏦ;ꎸ;ꀉꋒ;ꀋꂔ;ꀉꋒꃅ;(ꌩ)ꋒ;ꂾꋒꃅ;ꏦ /v /n 。/w 
929		  [ꅽ] /r ꀎꋏ /d ꂃ/v ꀋꉊ/v ꀊꅰꃅ/r/n /n ，/w ꀋꄸꄷ/v {ꀋꉊꃀꂽ}ꍆꅉ/u /v ꀊ /u /n ꀀ/v nir/n 、/w /n ꀋꇎ/c {ꈎꄜ}ꀄꊭꌠ /n ꆌ/u ，/w ꀋꋪꃅꐙ /c ...ꈭꐨ/d /p ꇿ/r ...ꇰ /n ꀊꄸꄷ/c ꂃ/v /u ꁢꊧ/vl /m /n 。/w 
930		  [ꅽ] /r /c {ꎆꃀ}ꃸꅐ/p /n /v ꀊꅰꃅ/r ꄚ /r /n ꀊ /u /n ，/w ꀊꄶ/r /n ...ꄮꀋꋪꃅꐙ /d ꀐꍰ/d ꀉꉙ{ꌬ}ꐓ /vu /v /v ꀐ/u 。/w 
931		 {...}ꌠꉨꁢꊧ/c ꁒꐀ/n ꀊ /u ꆅ /n ꀉꇨ/v ꁳ ꁴ/p/n ，/w ꀊꄸꄷ/c /n ꀊ /u ꀉꇨ/v ꁳ ꁴ/c /v /v ...ꅉ {ꎆꃀ}ꃸꅐ/n ，/w {ꀋꉊꃀꂽ}ꍆꅉ以/c ꀉꁁꋍꑵ{ꄷ}ꈨ/mq ꁒꐀ/n ꆹ /k /c /v  [ꅽ] /r ꀊ /u /v ，/w ꀉꁁ/r ꀋꎪꃅ/d 以/p ...ꇬꄉ/nt /v /v ...ꅉ {ꎆꃀ}ꃸꅐ/n ꀊ /u /n /v  [ꅽ] /r ꀊ /u /v 。/w 
932		  [ꅽ] /r /nt /d /d ꁰꄻ /v /u ？/w 
933		  [ꅽ] /r {ꀋꉊꃀꂽ}ꍆꅉ/u /ꀊ /u /n ꀑꑊ /n ，/w ꁰꄻ /v 显/v /n （/w ｔｈｅ/ws ｍａｎｉｆｅｓｔ/ws ｄｒｅａｍ/ws ｃｏｎｔｅｎｔ/ws ）/w ；/w/v /n ꈢꅵ  /nl ꀊ /u ꁌꐨ  /n 叫ꁰꄻ /v ꂁ  /v /n （/w ｔｈｅ/ws ｌａｔｅｎｔ/ws ｄｒｅａｍ/ws ｃｏｎｔｅｎｔ/ws ）/w 。/w 
934		  [ꅽ] /r ꀋ/v {ꀄꂼ}ꂻ  /n /c /d ，/w ꀀ/v {ꀄꂼ}ꂻ  /n ꀊꄸꄷ/c /v 弗洛伊特/nh ꎥꃪ  /v ，/w ꀉꁁ/r/ /d ꀮ/v ꀉꁁꋍꑵ{ꄷ}ꈨ/mq /n ꀊ /u /n {ꋍꑍ...}ꆏ/vd ...ꅉ /v  [ꅽ] /r {ꀄꂼ}ꂻ  /n ꀊ /u /v 。/w 
935		 ꀊꅰꃅꀉꁘ /r ꀉꄂꀒ/vl ꀈ꒜ꆸꅝ /n ，/w  [ꅽ] /r (ꅇ)ꉉ/v ꀐ/u ꅇ /n ，/w ꁰꄻ/v ꀐ/u {ꀋꃋ}ꁵ /n ，/w ꆸꅝ /v ꀐ/u ꀮꇐ /n ，/w  [ꅽ] /r 以ꁢꊧ/v ꀒ/vl {ꑘ}ꃅ/n 出/vd ꀋꋪꃅꐙ /a 吗/u ？/w 
936		 弗洛伊特/nh ꄡꇝ /d (ꅇ)ꉉ/v  [ꅽ] /r ꀒ/vl ꀀ/d ꀊ /u ，/w 只ꀒ/d  [ꅽ] /r ꄉꊨꏦ/r ꀉꉙ/d ꅉꐚ/v {ꑳ}ꏶ/u ꀐ/u 。/w 
937		 {ꀋꉊꃀꂽ}ꍆꅉ以/c ꀂ/r ...ꋐ /d ꀉꉙ/d ꀋꎪꀋꑴ/vu ꂿ /v  [ꅽ] /r ，/w ꀋꃋ ꃹ/nt ꀋꋪꃅꐙ /d ꃹ/p /nl ꂿ /v  [ꅽ] /r ꀐ/u ，/w ꀂ/r 只好/d (ꅇ)ꉉ/v ，/w ꀂ/r ꐯ/d /v ꂿ /v  [ꅽ] /r ；/w ꄚ/c /n ꀊ /u /v {ꋍꑍ...}ꆏ/vd /v ，/w ꀂ/r ꁳ ꁴꀒ/c ꃹ/p “/w /a ”/w 二/m {ꀋꃋ}ꁵ /n /nd {ꏯ}ꀋꋌ/d (ꅇ)ꉉ/v ꀐ/u ꀉꁁꋍꑵ{ꄷ}ꈨ/mq “/w ꀉꉙ/d ”/w {ꀋꃋ}ꁵ /n 。/w 
938		 ꀋꋌꉬ ꆹ /c /nt ꀞ/v ，/w  [ꅽ] /r ...ꅉ /v /n 。/w 
939		 ꄚ{ꄷ}ꈨ/r ꀞ/vu ꄿꐨ  (ꅇ)ꉉ/v {ꂽ}ꏃ/d ꀉꉙ/d ꁳ ꁴ/v  [ꅽ] /r ，/w ꄚ/c  [ꅽ] /r ꀒ/vl /n ，/w ꀉꉙ{ꀋ}ꉆꀉꉙ/d /v ꀞ/v 。/w 
940		 {ꆅ}ꌒ ꀒ/c  [ꅽ] /r (ꅇ)ꉉꅇ /v ꀊ /u ꄮꇬ /n ，/w {...}ꌠꉨ/c /v ꀋꌋꀋꏢ  /n ꀊ /u ꇁꈋ /v ，/w ꀋ{ꄉ}ꄐ/d /d ꄛꇰ  /v 闭ꀞ/v 。/w 
941		  [ꅽ] /r ꀉꉙ/d {ꌬ}ꐓ /vu (ꅇ)ꉉ/v ꄣ /r /d ꂿ /v /n ，/w {...}ꌠꉨꁢꊧ/c ꄣ /r ꀋꂿꑘ /vu ꆏ  /v ꀊ /u ꄮꇬ  /n /d ꀉꁁꋍꑵ...ꈭꐨ/d /v ꁳ ꁴ/p /n /nd 。/w 
942		 ...ꌠꌡ /v  [ꅽ] /r /d ꀋꂿꑘ /v ꀉꁁꋍꑵ{ꄷ}ꈨ/mq /a ꎸꀺꌺ /n ，/w  [ꅽ] /r ꀐꍰꀋꇈ/d ꀉꉙ{ꌬ}ꐓ /vu {ꎆꃀ}ꃸꅐ/v /n /n ；/w ꀋ/c ꀊꄶ/r ꀐꇐ /n /n /d ꃹ/p  [ꅽ] /r/nd ꀊ /u /nl ，/w ꀊꄸꄷ/c 已/d ꀋꇎ/p ꀐꇐ /n /v ꅽ  /n ，/w ꄚ/r ꀋꋌꉬ ꆹ /d {ꆅ}ꌒ /vu ꀋꄸꄷ/v  [ꅽ] /r ꉆꐥꃅ  /d {ꎆꃀ}ꃸꅐ/v ꄣ /r ...ꅉ /v /n 。/w ”/w 
943		 ...ꌠꌡ /v ꁰꄻ{ꀋꃋ}ꁵ /v ，/w ꀊꄸꄷ/d ꁳ ꁴ/v 仅/d ꁰꄻ/v ꀉꁁꋍꑵ{ꄷ}ꈨ/mq {ꀋꃋ}ꁵ /n ꀊ /u ꋍꊱꇬ  /n ，/w ꀊꅰꃅ/r {ꀋꉊꃀꂽ}ꍆꅉ/u ꀋꂿꑘ /v ꀊ /u ꌋꏣ  /n /n ，/w ꀐꍰ/d {ꆅ}ꄻ /v  [ꅽ] /r ꁰꄻ/v ꀉꇨ{ꀋꃋ}ꁵ /n ꀋꋌꉬ /c ꁰꄻ/v {ꈎꄜ}ꀄꊭꌠ {ꀋꃋ}ꁵ /n ，/w /a ꁰꄻ/v ꀋꋌꉬ /c /a ꁰꄻ/v ，/w {ꎆꃀ}ꃸꅐ/v ꁰꄻ/v ，/w ꀋꋌꉬ /c ꄉꀋꋪꃅꐙ /a ꁰꄻ/v ，/w /v /n ꀊ /u ...ꇰ /nd ꁰꄻ/v ꀋꋌꉬ /c 右...ꇰ /nd ꁰꄻ/v ꆌ/u ꀉꉙ/a ꀊꄸꄷ/c /a 。/w 
944		 /p 斯腾/nh ꃌꒆ  /n ꀊ /u ꄜꅇ /n ，/w ꀊꆠꌠꀋꄸꄷ/c  [ꅽ] /r 向/p ꀉꁁ(ꃶ)ꊈ/r ꀊ /u ꀋꃋꌺ  /n (ꅇ)ꉉ/v “/w ｅｒｒｅ/ws ，/w ｅｒｒｅ/ws ，/w ”/w ꀊꄶ/r ꌋꅪ  /n ...ꋐ /d /d {ꀋ}ꉆ/n ꄚꈨ/r ꃚꊨ  /n ，/w {ꆅ}ꌒ ꀒ/c ꀋꂿꑘ /vu ꋒꃅ  /v ，/w ꄡꇝ /d /d {ꎆꃀ}ꃸꅐ/v/m/nt /n /u /a ，/w /d {ꆅ}ꌒ /vu /v /n 。/w 
945		 ꀊꅰꃅ/r ，/w ꁧ /v ꇂꂱꌩ /n ，/w  [ꅽ] /r ꀉꄂ/d ꂿꉂ(ꀀ)ꄓ;ꑭꄑ;ꉀꄓ;ꅐ;(ꎸꇺ)ꀖ;(ꃅꆳ)ꁏ;ꉪꄅ;ꋊ;ꄓ;ꄉ;(ꃆꑘ)ꐘ;ꃢ;ꁥ /v ꄣ /r ꀀ/v ꄲꃅ/r {ꎆꃀ}ꃸꅐ/a ，/w /v {ꏯ}ꀋꋌ/r /n ，/w ꂿꉂ/v /v ꄣ /r {ꋍꑍ...}ꆏ/vd ꁰꄻ ꃷꃼ  /v ꀋꋌꉬ ꀒ/vl ꌞꁵ  /v ꏣꃀꏣꑟ  /n ，/w ꄚ{ꂱꑱ}ꃅꄷ/r  [ꅽ] /r {ꀋꉊꃀꂽ}ꍆꅉ/u /v ꀊ /u ꀒ/vl {ꎆꃀ}ꃸꅐ/a ꀊ /u ꀭꌾꅳꆷ /n 。/w 
946		 ꅇ (ꅇ)ꉉ/i ，/w ꀊꆠꌠ...ꌠꌡ /c  [ꅽ] /r ꀉꉙ/d {ꉢ}ꐥꂿ /v ꇂꂱꌩ /n ，/w ꀱꁳ ꁴ/p ꄣ /r ꀋ/v ꋍꍈ/n ꀊ /u ꌧꅍ /n ，/w ꀉꉙ/d ꅉꐚ/v ꄣ /r ꀊ /u ꂒꅉ  /n ꌐꋦ  /n {ꎆꃀ}ꃸꅐ/n ꆌꆌ/u ，/w  [ꅽ] /r {ꌬ}ꐓ /d {ꇇ}ꀯ /d ꂿ /v ꄲꃅ/r ...ꅀ...ꂯ/u ？/w 
947		  [ꅽ] /r ...ꄮꀋꋪꃅꐙ /d {ꇇ}ꀯ /d ꀉꇨ/vu ꂿ /v ꁰꄻ /v “/w ꇂꂱꌩ  /n ”/w ꀊ /u ꀊꄶ/r ꀉꁁꋍꑵ/m ꇗ /q ꀮꇐ /n ꃹ/c ꀊꄶ{ꂱꑱ}ꃅꄷ/r ，/w ꄚꀉꄂꀒ(ꅇ)ꉉ/i ，/w  [ꅽ] /r {ꇇ}ꀯ /d ꀉꇨ/vu ꂿ /v ꇂꂱꌩ /n ...ꋐ {ꋍꑍ...}ꆏ/a ꀊ /u ꄟ  {ꃰꃅ}ꂱꈈ/n 。/w 
948		  [ꅽ] /r ꀋꇎ/c ꀂ/r ꂯ/d ꀀ {ꀋ}ꉆ/v ꄚ/r /q /a /n /a ，/w ꀉꄂꀒ/c ꄣ /r ꇿ/r /a ？/w 
949		  [ꅽ] /r ꀋꇎ/c ꀂ/r {ꀋꉊꃀꂽ}ꍆꅉ/u ꁧ /v ꀊ /u /d r ꀉꉙ/d {ꃰꃅ}ꂱꈈ/a 。/w 
950		 ꀋꃋ ꃹ/nt ꀂ(ꃶ)ꊈ/r ꀋꂿꑘ /vu 讨ꃅꄉ/v ꀊ /u ꀒ/vl ：/w  [ꅽ] /r ꀉꉙ/v ꀉꑳ/n ꁰꄻ /v ꀊ /u {ꑘ}ꃅ/n ，/w ꑞꃅ/r ꀉꁁ/r /d ꀋꂿꑘ /vu ꀋꉊ/v ꁰꄻ /v ？/w 
951		 ꀉꁁ/r ꀄꂳ /v ꀐ/u ，/w  [ꅽ] /r ꀉꉙꀋꇈ/v ꀉꁁ/r ꃹ /v ，/w ꀉꁁ/r ꀋꂿꑘ /vu ꀰꎓꌥꑻ /v ，/w ꀰꎓꌥꑻ /v ꀉꉙꁧ /v ꋠꅍ/n ，/w ꀉꁁ/r {ꇇ}ꀯ /d ꀞ/vu ꉩ /v 。/w
952		 ꀉꁁ/r ꀉꉙ/dꀉꉙ/v ，/wꀋꋌꉬ/c{ꋚ}ꏾ /n ꀉꉙ/d {ꐻ}ꐯ/v ，/wꀽ /d ꉘꀋꇉ，/w ꀽ/d /v 了/vꃹ/v 、/w  [ꅽ] /rꀋꄸꄷ/c ꀋꇈꃅ/vꀉꁁ/rꃹ/v ，/w ꀉꁁ/rꀐꍰ/dꀉꉙ {ꃷꅍꇬꅑꌠ}ꎸ/vuꃛꌞ ꀁꋌ/v ꀋꉊ/v ，/w  [ꅽ] /rꀋꄸꄷ /c {ꄐꅍ}ꀉꇨ/dꀋꇈ /pꋠꅍ /nꀱꋍ(ꈏ)ꃹ;ꐊ;ꊌꐨ;ꄐꋽ;ꊯꃚ/v /rꀉꁁꀊ /uꀃ꒜ /nꀃ꒜/nd ，/w ꀉꁁ/r ......ꄷꀋꁧ......ꑌ/d ꀞ/vu pirt/v ꅐꇁ/vd 。/w 
953		 ꅺꌡ/v ，/w  [ꅽ] /rꄿꐨ /vꀐ /uꂘꃀ /nꀋꋌꉬ /cꌷꐋ/nꐯꁁꊪꄯꒉ /n ，/w ꉈꑴꆏ/cꄚ /r(ꁱꂷ)ꁱ;ꁰꄟ;ꄯꒉ;ꅇꊪꄯꒉ /n {ꄉ}ꄐꀊ/v ꂱꑡ/n ，/w ꀋꃉꀒ/vl  [ꅽ] /r{ꀋꉊꃀꂽ}ꍆꅉ/u ꇿ/vꇕꄟ/v ꀊ/u 。/w 
954		 ꄚꀋꃋ/r  [ꅽ] /r{...}ꌠꉨ /cꄚ/rꇗ /q ꆰ/v /u 一/mꄚ/q ꃰꃅꑷꂿ/ndꇭꀧ /v ꄐꅍ/n ，/wꇤꅷ/v  [ꅽ] /rꀋꉊ/v ꀗꄟ/vꀊꄶ /r (ꁱꂷ)ꁱ;ꁰꄟ;ꄯꒉ;ꅇꊪꄯꒉ/q /n 。/w 
955		 ꃶꐚꃅ/c ꄯꒉꁱ/n ꀋ/v (ꁱꂷ)ꁱ;ꁰꄟ;ꄯꒉ;ꅇꊪꄯꒉ/n ；ꋍꑵ/m...ꋐ/q(ꁱꂷ)ꁱ;ꁰꄟ;ꄯꒉ;ꅇ/w/vuꀋꉊ /v ꂳ/vꀉꁁꋍꑵ /m ...ꋐ/q ，/w ꂿꃅ/n ꀐ/d ꈊꃀ/a /uꀐ ，/w ꄚꀋꃋ/r  [ꅽ] /r ꀋꂿꑘ/vu ꀗꄟ/v ꀊꄶ/r /q (ꁱꂷ)ꁱ;ꁰꄟ;ꄯꒉ;ꅇꊪꄯꒉ/n ꀊ/u ꉪꄟ/n ，/w ꀽ/d ꀀ/v /r ꃅꑍꃅꉖ/n 之/u ꊛ/v ꁓꐒ/k 。/w 
956		 ꉈꑴꆏ/c ，/w  [ꅽ] /r  /d ꊽꉌꐡ/aꃄꁕ/uꄜ /v ꀉ/d {...}ꌠꉨ/c ꁌꒉꀋ/d ꂳꁧ/v ꀊꄶ/rꀊꄶ /q(ꁱꂷ)ꁱ;ꁰꄟ;ꄯꒉ;ꅇꊪꄯꒉ/n ，/wꀊꅰꀋꂿꑘ/vu ꂿꉂ/vꀗꄟ /v 。/w 
957		 ꇁꉚꅷ/v (ꁱꂷ)ꁱ;ꁰꄟ;ꄯꒉ;ꅇꊪꄯꒉ/nꂳ /v ꐱꁍ/v ，/wꁏ/ꁏv ꀐ/u ，/wꄚꀋꃋ /r ，/w v/r ...ꋐ/q ꁏ/vꀊ /u(ꁱꂷ)ꁱ;ꁰꄟ;ꄯꒉ;ꅇꊪꄯꒉ /n ꀊ/u ꆰ/v ꀋꇎ/c  [ꅽ] /r ꀋꂿꑘ/vu /v /r /q (ꁱꂷ)ꁱ;ꁰꄟ;ꄯꒉ;ꅇꊪꄯꒉ/n 的/u ꉪꄟ/n ꐯꊛ/v ，/w ꈭꐨ/c 才/d ꐯ/d 有/vꅿꉗ/n 的/u ꀗꄟ/v ꀁꋌꒉ/v 。/w 
958		 ꄚ/rꄚ /dꀀ /v ꅿꉗ/n ꀊ/uꀗꄟ/v ꀁꋌꒉ/v ꀊ/u ꃅꇏ/n ，/wꀋꄸꄷ /v  [ꅽ] /r 「/wꀀ/v ꂱꇬ/aꀋꎪ /v ꀒ/c ꇎ/v ꀊꋨ/u /n 。/w 
959		  [ꅽ] /r {...}ꌠꉨ/p ꇗ/q ꇗ/q ꀊ/u ꆰ/v ，/w ꌌꉪ/vꄯꒉꀘ ꅽ/vu ꄻꅐ/n ，/wꄚ/r ꄻꅐ ꀽꀒ/vlꉪꄟ/n 的/uꃰꃅꑷꂿ /nd ꀥ/v ꄐꅍ/n 。/w 
960		  [ꅽ] /r {ꆅ}ꐛ/v ...ꅷꇁ/v ，/w ꀋꋌꉬ/c ꀀ/v ...ꅷꇁ/v ，/w ꀋꇈ/p (ꁱꂷ)ꁱ;ꁰꄟ;ꄯꒉ;ꅇꊪꄯꒉ/n ꁏ/v ，/w ꄚ/r ꇗ/q ꇗ/q ꃄꄟ/n ꀽꀒ/vl ꉪꄟ/n ꀊ/u ꇰꇗꌬ/nꂿꄐ /n 。/w 
961		 ꃶꐚꃅ/cꀋꇝ /c  [ꅽ] /rꉌꃃ/v ꀉꉙ/d ꉌꃃ/v ，/w ꀊꄶ/r ꄻꅐꄻꅐ ꀉꇨꀿꏅꌐ/v ꀊ/u {ꁱꇐ}ꌬꇐ/n  [ꅽ] /r ꀐꍰ/d ꀉꉙ{ꀋ}ꉆꀉꉙ/d ꌷ/v 。/w 
962		 ꋍꃅ/r ꅉ/d ꀵ/n ，/w /d ꀗꄟ/v ，/w{ꌬ}ꐓ /vu ꇇꀤ/v  [ꅽ] /rꀊ/u ꀧꄜꅍꄐꅍ/n ，/w {ꌬ}ꐓ/vu ꄀꇗ/v  [ꅽ] /r ꀊ/u ꎺ/n 。/w 
963		 ꋒꃯꉚ/vꀵ/vꃆꏂꊀ/nt...ꈭꐨ /dꀘ /v ，/w ꀘ/v ꃆꏂꊀ/nt ꎕꏦ/d ꋒꃯꉚ/vꀵ/v ，/w ꄚ/r 种/q 「/wꀋꃋꀋꃋ /d ꉈꑴꉪ/v 」/w （/w Ｆｒｅｑｕｅｎｔ/ws ｒｅｃａｌｌ/ws ）/w ꀉꄂ......ꀋꉬ/c {ꌬ}ꐓ/vu ꁦꎆ/v ꌷ/v ꀊ/uꃅꊌꐨ/n ，
964		 」/w ꀉꁘꀬꅑ/nh （/w ꀧ/v ꇎ/m ）/w ꀊ/uꐯ /v{ꄉ}ꄐ /nd ，/wꀀ/v ꀉꁁꋍꑵ/m ꆼꄅ/q {ꆅ}ꌒ/vuꅺꌡ /v /n ：/w 『/w ꃹ/pꀏ /nd ꀊ/uꅇꀱꅍ /n 
965		 ꅺꌡ/v ꋍꂷ/mq ꀉꑌ/m ꃅꈎ/nt ꀊ/uꀉꑳ/nꀍꇤ ꀈꃀ/v ꀐ/u ꀉꁁꋍꑵ/m ꀮ/q ꋤꇓꀘ/n ，/w ꊁ/nt ꀉꂿ/nꀋꇈ {ꍤ}ꅲ/v ꀉꁁ/r ，/w 『/w 这/rꀗꊪ/n /vꀒl  [ꅽ] /r ꀍꇤꀈꃀ/vꀊ/u 么/k ？/w 
966		  [ꅽ] /r{ꆅ}ꄻ /v ꇙꀕ/nꇫꐥ /n {ꄉ}ꄐ/ndꀨ/d ꀏꊐꌠ/a ꀊ/uꉜꐨ /n ꀊꋨ/u ꁯ{ꁬꃨ}ꊨꍛꇥꑐn ꀋꏯ/n ，/wꀐ /d ꀐ/v (ꀃꃀ)ꂨ/v ꀜꐓ/v 及/c{ꁬꃨ} /v ꄗ之/u ꀰꏢ/n ，/wꂾ/cꊌꅜ /v ꋠꅍ/n 及/cꀧꌋꃅ/v ꇭꀧ/n ；/w /w 
967		 ꋒꃯꉚ/v /v ꀉꁁꋍꑵ/mꂿꉂ /v ，/w ꀋꄸꄷ/c ꀋ/v "/w{ꃼꇇ}ꎊꈬꂷꇁ/n "/wꇯꍝꃅ ꃤꆳ/r /n ，/w  [ꅽ] /r {ꍤ}ꅲ/v ꎊꈬꃷꌠ/n ：/w "/w  [ꅽ] 们/r ꀰꏢ/v 什么/r "/w /nt ，/w ꀉꁁ/r ꀉꄂ/d {ꀋ}ꉆ/vu ꅇꀱ/v ：/ww 
968		 ...ꌠꌡ/v ꎁꅇ/n "/w  [ꅽ] /r "/w ，/w /n "/w /d "/w /r ꃶꈍꃅꐚ/v ？/w "/w 
969		{ꁬꃨ}ꊨ/n "/w （/w "/w 丛/n "/w ）/w ꄹꌶ/vl "/w {ꁬꃨ}ꊨ/nꀉꄂ "/w ꀊ/u "/w /n "/w ，/w /r ，/w ꀋꇈ/nꏓꐊ /v ꀊ/u "/w{ꁬꃨ}ꊨ /n "/wꄹꌶ /vl "/wꁮꋧ /n{ꁬꃨ}ꊨ /n "/w ，/w
970		ꇬꑌꀒ/c  [ꅽ] /r ꀋꂿꑘ/vuꁎꑣ/v ꀊ/uꀮꇐ/n ，/w  [ꅽ] /d ......ꌷ/d ꀎꈠꆺꇬ/d "/w ꅉꐚ/v "/wꄣ/r ，/wꃄꈌꄐ/aꁎꑣ/v  [ꅽ] /r {ꀋꉊꃀꂽ}ꍆꅉ/u ꀉꉙ/d ꅉꐚ/v ꀊ/uꀮꇐ/n ，/wvl  
971		ꀂ/r ꍃ/v  [ꅽ] /r ！/w "/w 
972		 …/w …/wꃅꇴꃅꏢ/n ꀉꁁꋍꑵ/m {ꑍ}ꇬ/n ，/w {ꎆꃀ}ꃸꅐ/p ꋍꃅ/r ꋍꂷ/mqꋍꂷ/n 去/v ꃃꃚꃅꃃ/v ꂯꄉ/p  [ꅽ] /r (ꌩ)ꋲ;(ꈁꑓ)ꊒ;(ꃅꊭ)ꋲ;ꃼ/v 来/vd ꀊ/u ꃃꃚꃅꃃ/n ，/w/r ꀉꄂꀒ/vl ꊋ/v ！/w "/w 
973		 "/wꄐ/e ，/wꄐ/e ，/w  [ꅽ] /r ꇿ/r ？/w "/w 
974		  [ꅽ] /rꀮ/vꈀꄸ/r ？/w "/w 
975		 "/w ...ꇨ/h ꀊꋾ/nhf ꀉꉙ/d ꀉꉙ/v 这/r ，/wꅲ/v  [ꅽ] /rꑞꑫ/n ？/w "/w 
976		  [ꅽ] /r ꇿ/r ？/w "/w 
977		 ꀅꌳꃅꉉ/c ，/w ꀋꑍꊂ/r ꀮꇐ/n ꀒ/vl ꀉꁁꋍꑵ/m ꇗ/q ꂱꑱꐛꐨꉜ/a ꂱꑱꐛꐨꉜ/v ，/w  [ꅽ] /r ꀋꈁ/vu ，/w  [ꅽ] /r ......ꄷꀋꁧ......ꑌ/d ꀙꂓ/v ꀉꉙ/d {ꆅ}ꄻ/v ，/w ꉬꇮ/a 。/w 
978		  [ꅽ] /rꀉꇨ/vuꌌꌬ/vꌅꅍ/n 从/p  [ꅽ] /rꁰꄻ/vꀊ /u (ꁱ(ꁱꂷ)ꁱ;ꁰꄟ;ꄯꒉ;ꅇꊪꄯꒉ{ꄉ}ꄐ/ndꌉ/v ꀐ/u ꇯꍝꃅ/r ꀋꋌꉬ/c ꀊꋨꂷ/r ꅇ/n ，/w ꄚ/c  [ꅽ] /r ꀋ/v ꄐꅍ/n 从/p ꀊꃋꐛꐨ/n ꇫꐥ/n 中/nd /w 
979		 ꀀꀑꑊ/r ꁒꊨ/v ꀁꑌꀉꑌ/d ꑽꃤꃅ/v ꂯ/d ꀒ/vl 从/pꀛꐂ/v {ꋍꑍ...}ꆏ/vd ꀊ/u ，/w ꀋꇈ/r ，/wꀉꇨ/vu ꀱꉈꁏꍆ/v ꄚ/r 种/q ꋍꁁꏯ/a ꃅꄉ/vꆹ/k ，/wꄉ/c ꀁꑌꀉꑌ/d ꑽꃤꃅ/v
980		ꄚ/cꇫꐥ/nꄙ/d ꀉꉙ/d ꄿꐨ/v  [ꅽ] /r ꀊꄶ/r ꀉꁁꋍꑵꀹꑳꅇ/mq 。/w 
981		 ꄽ/v ，/w  [ꅽ] /r...ꈭꐨ/d ꀗꄟ/v 入/v ꄚꇢꊭꇬ/nd ꀊ/u {ꊾ}ꂷ{ꄷ}ꈨ/r ꀉꄂꅇ/n ，/w ꌗꁈꏸ/n ꇇꈴ/p ꎥꃪ/v ꇯꍝꃅ/r ꀉꄂꅇ/n ꀊ/u ꉙꃚ/nꐋꀋꌡꐨ/n ，/w 
982		ꂮ/nꀁꋌ/nd ，/w  [ꅽ] /r ꀉꄂ/d ꐯ/d ...ꀋ.../a ꂥꀘ/vꀋꑍꊂ/r ꃚꊨ/n ꀊ/u ꃅꋮꄹꊨ/n ꄲꃅ/d ꃹ/p ꄲꃅ/r ꃅꄷ/n 。/w 
984		ꋋꐛꅹ/c ，/w ꄹꉇ/dꃶꐚ/a ꃅꅜ/vꇯꍝꃅ/r ꉌꂵꉪꅉ/n ，/wꀋꇈ/r ꇬꑌ/c  [ꅽ] /r /u {ꈎꄜ}ꀄꊭꌠꐕꍯ/nꀃꈈ/n ꅺꌡ/v{ꃢꈜ}ꈚ/u 也/dꑽꀋꐥ/a ，/wꄉ/c  [ꅽ] /rꌌꌬ/v ꀊ/u。/w 
985		  [ꅽ] /r ꈜ/v {ꃢꈜ}ꈚmuhxo/vꀋ/v ～/w muhxo/nꈜ /v {ꃢꈜ}ꈚ/u  [ꅽ] /r ꀋ/v 
986		ꀋꄸꄷ/cnir ꀈꎽ/nꄂ/n ꀒ/vl ꀑꐱ/a ꂓꅇ/n ，/w ꀁꁧ(ꅇ)ꉉ/v ꀊ/uꄮꇬ/n ꀋꂿꑘ/vu {ꎆꃀ}ꃸꅐ/p "/w ꀊ/u "/w {ꀋꃋ}ꁵ/n ，/w ꅺꌡ/v ：/w  [ꅽ] /r ꀊ/u ꑓꑳ/n │/w v ：/w 
987		  [ꅽ] /r ꑓꑳ/n ...ꅀ...ꂯ/u ？/w 
